OSC FPGA
0.628 0.648
2.000 2.000
2.000 2.000
2.000 2.000
2.000 2.000
2.000 2.000
2.000 2.020
2.000 2.000
2.000 2.000
2.000 2.000
2.000 2.000
4.000 3.840
4.000 3.820
4.000 3.840
4.000 3.820
4.000 3.820
4.000 3.820
4.000 3.840
4.000 3.820
4.000 3.840
4.000 3.840
6.000 5.840
6.000 5.820
6.000 5.840
6.000 5.840
6.000 5.840
6.000 5.840
6.000 5.840
6.000 5.840
6.000 5.840
6.000 5.840
8.000 7.820
8.000 7.840
8.000 7.840
8.000 7.820
8.000 7.820
8.000 7.840
8.000 7.820
8.000 7.820
8.000 7.840
8.000 7.820
10.00 9.840
10.00 9.840
10.00 9.820
10.00 9.840
10.00 9.840
10.00 9.840
10.00 9.840
10.00 9.840
10.00 9.840
10.00 9.840
12.00 11.920
12.00 11.920
12.00 11.920
12.00 11.920
12.00 11.900
12.00 11.920
12.00 11.920
12.00 11.920
12.00 11.920
12.00 11.920
14.00 14.000
14.00 14.000
14.00 14.000
14.00 14.020
14.00 14.020
14.00 14.020
14.00 14.000
14.00 14.000
14.00 14.040
14.00 14.000
16.00 16.000
16.00 16.000
16.00 16.000
16.00 16.000
16.00 16.000
16.00 16.000
16.00 16.000
16.00 16.000
16.00 16.000
16.00 16.000
18.00 17.980
18.00 18.000
18.00 17.980
18.00 17.980
18.00 17.980
18.00 17.980
18.00 17.980
18.00 17.980
18.00 17.980
18.00 17.980
20.00 19.960
20.00 19.980
20.00 19.980
20.00 19.960
20.00 19.960
20.00 19.980
20.00 19.980
20.00 19.980
20.00 19.980
20.00 19.980

