Time (s)	Potential (mV)
0	110.867693164
2	38.2162242997
4	76.7189839259
6	54.3370059002
8	52.5737954127
10	64.8443010505
12	58.7270401753
14	70.0619647382
16	50.7386171501
18	84.4915036261
20	38.0722887497
22	97.3017675765
24	28.0687680244
26	106.945449427
28	33.7902061371
30	115.077808002
32	38.2522081872
34	109.680224877
36	44.8012757124
38	105.829948914
40	64.520446063
42	104.426577302
44	81.7927120635
46	96.5101220515
48	100.828188552
50	84.0237130886
52	104.030754539
54	99.352849164
56	120.15153614
58	92.4439427638
60	130.874734615
62	88.0539084887
64	146.599693453
66	94.1711693639
68	156.747149728
70	98.8850586265
72	157.538795253
74	106.477658889
76	155.127874791
78	119.00005174
80	155.739600878
82	133.39360674
84	149.622340003
86	146.743629003
88	138.827173753
90	149.190533353
92	150.198082203
94	160.345538478
96	142.74941749
98	167.002557666
100	135.480672215
102	176.250416754
104	136.27231774
106	181.971854866
108	136.344285515
110	180.028724941
112	138.071512115
114	174.919012916
116	143.145240253
118	172.328173016
120	148.938646141
122	162.864410603
124	150.665872741
126	149.334468903
128	157.646746916
130	153.076793203
132	154.120325941
134	143.145240253
136	154.480164816
138	133.465574515
140	157.466827478
142	126.48470034
144	156.531246403
146	120.403423352
148	150.198082203
150	115.617566315
152	143.001304703
154	113.818371939
156	136.524204953
158	114.142226927
160	126.556668115
162	112.558935877
164	114.034275264
166	114.753953015
168	112.954758639
170	107.629143289
172	101.152043539
174	105.218222827
176	91.5083616888
178	106.873481652
180	84.9233102761
182	105.937900577
184	78.3742427509
186	100.684253002
188	73.2645307258
190	95.4306054264
192	72.4369013133
194	91.6882811263
196	72.7607563008
198	85.1751974886
200	73.7683051508
202	77.7625166634
204	75.0997089883
206	71.6452557882
208	72.4009174258
210	72.0410785507
212	74.5959345633
214	66.3196404381
216	77.3666939009
218	64.0526555255
220	80.7851632135
222	62.2534611505
224	80.245404901
226	61.3178800754
228	80.7131954385
230	65.1321721505
232	83.2320675636
234	69.5941742007
236	82.188534826
238	73.1925629508
240	79.7776143635
242	79.0939205009
244	81.180985976
246	82.5843575886
248	85.3191330386
250	87.2982468512
252	84.6354391761
254	94.7469115639
256	87.3702146262
258	100.900156327
260	89.8890867513
262	104.894367839
264	93.1636205139
266	109.752192652
268	98.8130908515
270	114.214194702
272	105.146255052
274	117.164873477
276	110.903677052
278	118.100454552
280	117.27282514
282	121.339004427
284	124.397634865
286	126.016909802
288	127.024458652
290	126.736587552
292	133.753445615
294	129.615298552
296	138.755205978
298	131.342525152
300	142.821385265
302	132.997783978
304	145.412225165
306	136.27231774
308	148.003065065
310	139.798738715
312	148.326920053
314	141.59793309
316	147.859129515
318	144.404676315
320	147.319371203
322	147.859129515
324	148.65077504
326	146.527725678
328	146.815596778
330	148.866678366
332	145.19632184
334	149.550372228
336	143.001304703
338	149.118565578
340	140.338497028
342	147.607242303
344	138.86315764
346	145.736080153
348	137.42380214
350	142.425562503
352	134.077300603
354	137.99954434
356	133.285655078
358	134.077300603
360	131.558428477
362	129.471363002
364	126.19682924
366	125.47715149
368	124.217715427
370	120.403423352
372	122.02269829
374	115.68953409
376	118.604228977
378	111.011628714
380	115.005840227
382	107.341272189
384	111.407451477
386	103.706899552
388	107.809062727
390	100.612285227
392	102.951237914
394	98.489235864
396	98.417268089
398	95.8983959639
400	94.4950243514
402	92.0121361138
404	91.0405711513
406	90.2129417388
408	87.9819407137
410	89.3133445513
412	85.5710202511
414	87.2262790762
416	82.260502601
418	85.7869235761
420	81.2889376385
422	84.9592941636
424	80.533276001
426	84.0596969761
428	80.101469351
430	82.9801803511
432	79.6336788135
434	81.7927120635
436	80.5692598885
438	82.044599276
440	81.7207442885
442	82.4404220385
444	82.9082125761
446	83.0521481261
448	85.1751974886
450	85.2471652636
452	87.1902951887
454	85.5710202511
456	89.1694090012
458	87.5141501762
460	91.1485228138
462	90.1769578513
464	94.3510888014
466	93.2355882889
468	96.762009264
470	95.5745409764
472	99.6047363766
474	100.108510802
476	102.231560164
478	103.742883439
480	105.506093927
482	106.945449427
484	108.492756589
486	111.083596489
488	112.091145339
490	114.897888565
492	114.861904677
494	118.532261202
496	117.740615677
498	121.554907752
500	120.943181665
502	125.297232052
504	123.60598934
506	127.816104177
508	126.62863589
510	130.22702464
512	130.334976302
514	132.350074003
516	133.141719528
518	134.077300603
520	134.725010578
522	135.804527203
524	136.596172728
526	137.027979378
528	138.28741544
530	137.495769915
532	138.791189865
534	137.603721578
536	139.978658153
538	138.071512115
540	139.798738715
542	138.323399328
544	139.798738715
546	137.819624903
548	138.935125415
550	137.819624903
552	137.99954434
554	137.13593104
556	135.876494978
558	134.796978353
560	134.221236153
562	133.96934894
564	132.278106228
566	131.270557377
568	129.543330777
570	129.147508015
572	127.20437809
574	126.880523102
576	124.829441515
578	124.75747374
580	122.490488827
582	121.806794965
584	119.072019515
586	118.676196752
588	116.40921184
590	115.293711327
592	113.566484727
594	112.558935877
596	111.011628714
598	109.680224877
600	108.348821039
602	106.153803902
604	105.110271164
606	102.879270139
608	101.835737402
610	100.360398014
612	99.8206397016
614	98.0934131015
616	97.409719239
618	95.9703637389
620	95.4306054264
622	93.8832982639
624	93.8113304889
626	92.5878783138
628	92.5159105388
630	92.3719749888
632	91.4004100263
634	90.4288450638
636	89.8890867513
638	90.1049900763
640	89.0254734512
642	89.2413767762
644	87.8020212762
646	87.9819407137
648	87.2982468512
650	88.3777634762
652	88.3057957012
654	89.5652317638
656	88.6296506887
658	89.5652317638
660	89.1694090012
662	90.2849095138
664	91.1125389263
666	92.4439427638
668	92.9117333014
670	93.4874755014
672	94.3151049139
674	94.8908471139
676	96.114299289
678	97.0858642515
680	98.561203639
682	99.280881389
684	101.080075764
686	101.691801852
688	103.419028452
690	105.038303389
692	106.405691114
694	107.413239964
696	109.032514902
698	109.464321552
700	111.407451477
702	111.803274239
704	113.962307489
706	115.293711327
708	115.83346964
710	117.020937927
712	117.812583452
714	120.15153614
716	120.763262227
718	122.02269829
720	122.490488827
722	124.361650977
724	125.009360952
726	126.160845352
728	126.556668115
730	127.996023615
732	128.607749702
734	129.543330777
736	129.867185765
738	130.622847402
740	130.874734615
742	131.486460702
744	132.206138453
746	132.745896765
748	132.925816203
750	132.853848428
752	133.39360674
754	133.39360674
756	133.609510065
758	133.141719528
760	133.357622853
762	132.422041778
764	132.601961215
766	131.95425124
768	131.66638014
770	130.874734615
772	130.550879627
774	129.615298552
776	128.679717477
778	128.21192694
780	127.996023615
782	126.62863589
784	125.585103152
786	124.073779877
788	123.498037677
790	123.102214915
792	121.73482719
794	121.231052765
796	119.611777827
798	118.964067852
800	117.632664015
802	116.40921184
804	114.753953015
806	114.430098027
808	113.026726414
810	112.415000327
812	110.831709277
814	109.896128202
816	109.356369889
818	107.952998277
820	106.225771677
822	105.218222827
824	104.030754539
826	102.807302364
828	102.231560164
830	101.511882414
832	100.828188552
834	99.6407202641
836	99.280881389
838	98.1653808765
840	98.0934131015
842	96.762009264
844	97.0138964765
846	96.0423315139
848	96.546105939
850	94.9987987764
852	95.2866698764
854	95.0707665514
856	94.9628148889
858	94.3870726889
860	94.4230565764
862	94.7469115639
864	93.8113304889
866	94.2431371389
868	94.3151049139
870	95.2147021014
872	95.3586376514
874	95.5025732014
876	95.2147021014
878	96.690041489
880	97.0138964765
882	98.0214453265
884	97.913493664
886	98.6691553015
888	98.5971875265
890	100.468349677
892	100.756220777
894	102.159592389
896	103.419028452
898	103.814851214
900	104.750432289
902	106.009868352
904	107.161352752
906	108.096933827
908	109.356369889
910	110.435886514
912	111.155564264
914	112.486968102
916	114.034275264
918	114.681985239
920	115.905437415
922	116.481179615
924	117.27282514
926	118.28037399
928	119.359890615
930	120.187520027
932	120.547358902
934	121.231052765
936	122.058682177
938	122.130649952
940	122.670408265
942	123.498037677
944	124.397634865
946	125.009360952
948	125.657070927
950	126.268797015
952	126.700603665
954	126.880523102
956	127.276345865
958	127.816104177
960	128.427830265
962	129.003572465
964	129.07554024
966	129.21947579
968	128.93160469
970	129.147508015
972	128.895620802
974	128.895620802
976	128.427830265
978	128.49979804
980	127.384297527
982	127.276345865
984	126.77257144
986	126.808555327
988	126.19682924
990	125.585103152
992	125.47715149
994	124.397634865
996	123.785908777
998	122.88631159
1000	121.626875527
1002	120.691294452
1004	120.15153614
1006	119.683745602
1008	118.604228977
1010	117.812583452
1012	117.020937927
1014	115.83346964
1016	115.293711327
1018	114.430098027
1020	114.214194702
1022	112.954758639
1024	111.623354802
1026	111.407451477
1028	110.004079864
1030	109.968095977
1032	109.284402114
1034	108.204885489
1036	107.665127177
1038	107.089384977
1040	106.081836127
1042	105.757981139
1044	104.498545077
1046	103.958786764
1048	103.419028452
1050	102.087624614
1052	101.907705177
1054	101.367946864
1056	101.008107989
1058	100.540317452
1060	99.8206397016
1062	99.7126880391
1064	99.1009619515
1066	99.208913614
1068	99.208913614
1070	99.280881389
1072	99.352849164
1074	99.208913614
1076	98.345300314
1078	98.7411230765
1080	98.9570264015
1082	99.208913614
1084	99.1729297265
1086	99.7126880391
1088	99.8206397016
1090	100.396381902
1092	100.396381902
1094	100.684253002
1096	101.691801852
1098	101.691801852
1100	102.087624614
1102	102.807302364
1104	103.095173464
1106	104.138706202
1108	104.606496739
1110	105.793965027
1112	106.405691114
1114	106.405691114
1116	107.305288302
1118	107.881030502
1120	108.204885489
1122	108.816611577
1124	109.896128202
1126	110.363918739
1128	112.019177564
1130	112.954758639
1132	113.062710302
1134	114.214194702
1136	114.861904677
1138	115.97740519
1140	116.085356852
1142	116.661099052
1144	117.632664015
1146	118.352341765
1148	118.964067852
1150	119.072019515
1152	120.187520027
1154	120.87121389
1156	121.482939977
1158	121.986714402
1160	122.202617727
1162	122.59844049
1164	123.102214915
1166	123.74992489
1168	123.857876552
1170	124.397634865
1172	124.685505965
1174	125.009360952
1176	125.33321594
1178	125.47715149
1180	125.225264277
1182	125.009360952
1184	125.081328727
1186	124.541570415
1188	124.397634865
1190	124.289683202
1192	124.361650977
1194	123.785908777
1196	123.785908777
1198	124.361650977
1200	123.210166577
1202	122.490488827
1204	121.986714402
1206	121.73482719
1208	121.410972202
1210	120.799246115
1212	120.187520027
